Model,MAE_min,Median_AE_min,RMSE_min,R2,P80_AE_min,P90_AE_min
Similar History Median,11.015,10.0,15.432568375570758,0.7704251444288409,16.0,20.0
Gradient Boosting,11.636424920287032,8.51536699181316,17.52875330796065,0.7038239354566387,15.20065106329525,24.744233381207767
Random Forest,11.647273993723838,10.085571143223575,18.486063241301967,0.670590007632896,12.809355170804674,16.354028943055347
Hist Gradient Boosting,11.776363996380576,10.243707367363982,18.643807919966036,0.6649442002137713,13.019053824757085,17.05493769748451
Extra Trees,11.84973163608345,10.195565042194211,18.811619475226127,0.6588854294709068,13.176488257952052,18.08123631783917
KNN Regression,12.118034410604428,10.57796582893451,19.335365889362983,0.6396266311427357,13.919421234265382,16.80422717351582
ElasticNet,13.19113182993266,8.965661961970575,22.698342800026985,0.5033662825201035,15.58043750678948,22.159300926660116
XGBoost,13.506333084106446,8.443868637084961,20.811045787195635,0.5825199665751375,17.720142364501953,28.048189544677737
Linear SVR,15.733946958888021,10.11240025387323,31.90279229071354,0.018918033836711534,16.34165531746209,22.342464062020156
Ridge Regression,16.839571700271954,10.596446273042215,24.65820532434125,0.4139012040230998,25.63649122066889,45.10127402940623
Machine Average Baseline,24.714477958587224,19.744824482448244,31.978933030736396,0.014229450597997184,32.78896882494005,65.27272727272728
