Metric,Value
mae,11.636424920287032
original_mae,13.958688527880804
median_absolute_error,8.51536699181316
original_median_absolute_error,9.099524252252795
risk_accuracy,0.93
risk_auc,0.9757834757834758
baseline_mae,24.440147413930227
history_mae,11.130666666666666
history_median_absolute_error,10.0
cluster_count,30.0
record_count,1500.0
Final Model MAE,11.636424920287032
Machine Average MAE,24.714477958587224
Similar History Median MAE,11.015
Original Duration MAE,13.958688527880804
Median Absolute Error,8.51536699181316
Risk Accuracy,0.93
Risk AUC,0.9757834757834758
Test Record Count,300.0
Cluster Count,30.0
